"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","hum","windspeed","cnt"
"52","SPRING","2011","FEB","YES","MON","FREEDAY","2",0.303333,0.605,0.307846,1107
"54","SPRING","2011","FEB","NO","WED","WORKDAY","1",0.221739,0.423043,0.094113,1917
"55","SPRING","2011","FEB","NO","THU","WORKDAY","2",0.295652,0.697391,0.250496,1807
"57","SPRING","2011","FEB","NO","SAT","FREEDAY","1",0.2825,0.537917,0.186571,1969
"59","SPRING","2011","FEB","NO","MON","WORKDAY","2",0.407273,0.876364,0.289686,1446
"61","SPRING","2011","MAR","NO","WED","WORKDAY","1",0.335,0.449583,0.307833,2134
"64","SPRING","2011","MAR","NO","SAT","FREEDAY","2",0.384167,0.789167,0.251871,2077
"66","SPRING","2011","MAR","NO","MON","WORKDAY","1",0.261739,0.551304,0.341352,1872
"67","SPRING","2011","MAR","NO","TUE","WORKDAY","1",0.2925,0.420833,0.12065,2133
"69","SPRING","2011","MAR","NO","THU","WORKDAY","3",0.389091,0,0.261877,623
"72","SPRING","2011","MAR","NO","SUN","FREEDAY","1",0.384348,0.527391,0.270604,2417
"73","SPRING","2011","MAR","NO","MON","WORKDAY","1",0.325217,0.496957,0.136926,2046
"74","SPRING","2011","MAR","NO","TUE","WORKDAY","2",0.317391,0.655652,0.184309,2056
"76","SPRING","2011","MAR","NO","THU","WORKDAY","1",0.415,0.602917,0.209579,2744
"78","SPRING","2011","MAR","NO","SAT","FREEDAY","1",0.4725,0.379167,0.368167,3117
"79","SPRING","2011","MAR","NO","SUN","FREEDAY","1",0.3325,0.47375,0.207721,2471
"80","SUMMER","2011","MAR","NO","MON","WORKDAY","2",0.430435,0.737391,0.288783,2077
"81","SUMMER","2011","MAR","NO","TUE","WORKDAY","1",0.441667,0.624583,0.22575,2703
"83","SUMMER","2011","MAR","NO","THU","WORKDAY","2",0.285,0.805833,0.243787,1865
"84","SUMMER","2011","MAR","NO","FRI","WORKDAY","1",0.264167,0.495,0.230725,2210
"85","SUMMER","2011","MAR","NO","SAT","FREEDAY","1",0.265833,0.394167,0.209571,2496
"87","SUMMER","2011","MAR","NO","MON","WORKDAY","1",0.264348,0.302174,0.212204,2028
"88","SUMMER","2011","MAR","NO","TUE","WORKDAY","1",0.3025,0.314167,0.226996,2425
"89","SUMMER","2011","MAR","NO","WED","WORKDAY","2",0.3,0.646667,0.172888,1536
"90","SUMMER","2011","MAR","NO","THU","WORKDAY","3",0.268333,0.918333,0.217646,1685
"91","SUMMER","2011","APR","NO","FRI","WORKDAY","2",0.3,0.68625,0.258708,2227
"93","SUMMER","2011","APR","NO","SUN","FREEDAY","1",0.378333,0.48,0.182213,3249
"94","SUMMER","2011","APR","NO","MON","WORKDAY","1",0.573333,0.42625,0.385571,3115
"95","SUMMER","2011","APR","NO","TUE","WORKDAY","2",0.414167,0.642083,0.388067,1795
"96","SUMMER","2011","APR","NO","WED","WORKDAY","1",0.390833,0.470833,0.263063,2808
"100","SUMMER","2011","APR","NO","SUN","FREEDAY","2",0.426667,0.8575,0.146767,2895
"103","SUMMER","2011","APR","NO","WED","WORKDAY","2",0.4125,0.819167,0.250617,2162
"104","SUMMER","2011","APR","NO","THU","WORKDAY","1",0.4675,0.540417,0.1107,3267
"105","SUMMER","2011","APR","YES","FRI","FREEDAY","1",0.446667,0.67125,0.226375,3126
"106","SUMMER","2011","APR","NO","SAT","FREEDAY","3",0.430833,0.888333,0.340808,795
"107","SUMMER","2011","APR","NO","SUN","FREEDAY","1",0.456667,0.479583,0.303496,3744
"108","SUMMER","2011","APR","NO","MON","WORKDAY","1",0.5125,0.5425,0.163567,3429
"110","SUMMER","2011","APR","NO","WED","WORKDAY","1",0.595,0.614167,0.241925,3944
"111","SUMMER","2011","APR","NO","THU","WORKDAY","1",0.459167,0.407083,0.325258,4189
"112","SUMMER","2011","APR","NO","FRI","WORKDAY","2",0.336667,0.729583,0.219521,1683
"113","SUMMER","2011","APR","NO","SAT","FREEDAY","2",0.46,0.887917,0.230725,4036
"114","SUMMER","2011","APR","NO","SUN","FREEDAY","2",0.581667,0.810833,0.192175,4191
"115","SUMMER","2011","APR","NO","MON","WORKDAY","1",0.606667,0.776667,0.185333,4073
"116","SUMMER","2011","APR","NO","TUE","WORKDAY","1",0.631667,0.729167,0.3265,4400
"117","SUMMER","2011","APR","NO","WED","WORKDAY","2",0.62,0.835417,0.3122,3872
"118","SUMMER","2011","APR","NO","THU","WORKDAY","2",0.6175,0.700833,0.320908,4058
"119","SUMMER","2011","APR","NO","FRI","WORKDAY","1",0.51,0.457083,0.240063,4595
"120","SUMMER","2011","APR","NO","SAT","FREEDAY","1",0.4725,0.503333,0.235075,5312
"121","SUMMER","2011","MAY","NO","SUN","FREEDAY","2",0.451667,0.762083,0.106354,3351
"122","SUMMER","2011","MAY","NO","MON","WORKDAY","2",0.549167,0.73,0.183454,4401
"125","SUMMER","2011","MAY","NO","THU","WORKDAY","1",0.459167,0.444167,0.295392,4433
"127","SUMMER","2011","MAY","NO","SAT","FREEDAY","1",0.52,0.54125,0.16045,4714
"128","SUMMER","2011","MAY","NO","SUN","FREEDAY","1",0.528333,0.631667,0.0746375,4333
"129","SUMMER","2011","MAY","NO","MON","WORKDAY","1",0.5325,0.58875,0.176,4362
"130","SUMMER","2011","MAY","NO","TUE","WORKDAY","1",0.5325,0.489167,0.115671,4803
"131","SUMMER","2011","MAY","NO","WED","WORKDAY","1",0.5425,0.632917,0.120642,4182
"132","SUMMER","2011","MAY","NO","THU","WORKDAY","1",0.535,0.7475,0.189667,4864
"134","SUMMER","2011","MAY","NO","SAT","FREEDAY","2",0.520833,0.9225,0.13495,3409
"135","SUMMER","2011","MAY","NO","SUN","FREEDAY","2",0.5625,0.867083,0.152979,4553
"136","SUMMER","2011","MAY","NO","MON","WORKDAY","1",0.5775,0.787917,0.126871,3958
"137","SUMMER","2011","MAY","NO","TUE","WORKDAY","2",0.561667,0.837917,0.277354,4123
"139","SUMMER","2011","MAY","NO","THU","WORKDAY","2",0.530833,0.829583,0.108213,4575
"141","SUMMER","2011","MAY","NO","SAT","FREEDAY","1",0.6025,0.626667,0.12065,5805
"143","SUMMER","2011","MAY","NO","MON","WORKDAY","2",0.631667,0.81,0.233842,4274
"148","SUMMER","2011","MAY","NO","SAT","FREEDAY","1",0.655833,0.729583,0.230092,4758
"151","SUMMER","2011","MAY","NO","TUE","WORKDAY","1",0.775,0.636667,0.111329,3982
"152","SUMMER","2011","JUN","NO","WED","WORKDAY","2",0.764167,0.677083,0.207092,3974
"153","SUMMER","2011","JUN","NO","THU","WORKDAY","1",0.715,0.305,0.292287,4968
"155","SUMMER","2011","JUN","NO","SAT","FREEDAY","1",0.635,0.45625,0.123142,5342
"156","SUMMER","2011","JUN","NO","SUN","FREEDAY","2",0.648333,0.6525,0.138692,4906
"158","SUMMER","2011","JUN","NO","TUE","WORKDAY","1",0.7075,0.597917,0.187808,4833
"159","SUMMER","2011","JUN","NO","WED","WORKDAY","1",0.775833,0.622083,0.136817,4401
"160","SUMMER","2011","JUN","NO","THU","WORKDAY","2",0.808333,0.568333,0.149883,3915
"161","SUMMER","2011","JUN","NO","FRI","WORKDAY","1",0.755,0.605,0.140554,4586
"162","SUMMER","2011","JUN","NO","SAT","FREEDAY","1",0.725,0.654583,0.15485,4966
"163","SUMMER","2011","JUN","NO","SUN","FREEDAY","1",0.6925,0.747917,0.163567,4460
"164","SUMMER","2011","JUN","NO","MON","WORKDAY","1",0.635,0.494583,0.30535,5020
"165","SUMMER","2011","JUN","NO","TUE","WORKDAY","1",0.604167,0.507083,0.269283,4891
"166","SUMMER","2011","JUN","NO","WED","WORKDAY","1",0.626667,0.471667,0.167912,5180
"167","SUMMER","2011","JUN","NO","THU","WORKDAY","2",0.628333,0.688333,0.206471,3767
"168","SUMMER","2011","JUN","NO","FRI","WORKDAY","1",0.649167,0.735833,0.143029,4844
"170","SUMMER","2011","JUN","NO","SUN","FREEDAY","2",0.699167,0.666667,0.102,4744
"171","SUMMER","2011","JUN","NO","MON","WORKDAY","2",0.635,0.74625,0.155475,4010
"172","FALL","2011","JUN","NO","TUE","WORKDAY","2",0.680833,0.770417,0.171025,4835
"174","FALL","2011","JUN","NO","THU","WORKDAY","2",0.728333,0.703333,0.238804,4790
"175","FALL","2011","JUN","NO","FRI","WORKDAY","1",0.724167,0.573333,0.222025,4991
"177","FALL","2011","JUN","NO","SUN","FREEDAY","1",0.68,0.513333,0.0945333,5305
"178","FALL","2011","JUN","NO","MON","WORKDAY","2",0.6825,0.658333,0.107588,4708
"179","FALL","2011","JUN","NO","TUE","WORKDAY","1",0.744167,0.634167,0.144283,4648
"180","FALL","2011","JUN","NO","WED","WORKDAY","1",0.728333,0.497917,0.261821,5225
"181","FALL","2011","JUN","NO","THU","WORKDAY","1",0.696667,0.434167,0.185312,5515
"184","FALL","2011","JUL","NO","SUN","FREEDAY","2",0.716667,0.6825,0.228858,4649
"185","FALL","2011","JUL","YES","MON","FREEDAY","2",0.726667,0.637917,0.0814792,6043
"186","FALL","2011","JUL","NO","TUE","WORKDAY","1",0.746667,0.590417,0.126258,4665
"187","FALL","2011","JUL","NO","WED","WORKDAY","1",0.72,0.743333,0.149883,4629
"188","FALL","2011","JUL","NO","THU","WORKDAY","1",0.75,0.65125,0.1592,4592
"189","FALL","2011","JUL","NO","FRI","WORKDAY","2",0.709167,0.757917,0.225129,4040
"190","FALL","2011","JUL","NO","SAT","FREEDAY","1",0.733333,0.609167,0.167912,5336
"191","FALL","2011","JUL","NO","SUN","FREEDAY","1",0.7475,0.578333,0.183471,4881
"193","FALL","2011","JUL","NO","TUE","WORKDAY","1",0.794167,0.559167,0.200254,4258
"195","FALL","2011","JUL","NO","THU","WORKDAY","1",0.680833,0.47625,0.240667,5084
"196","FALL","2011","JUL","NO","FRI","WORKDAY","1",0.663333,0.59125,0.182833,5538
"197","FALL","2011","JUL","NO","SAT","FREEDAY","1",0.686667,0.585,0.208342,5923
"199","FALL","2011","JUL","NO","MON","WORKDAY","1",0.746667,0.65125,0.215804,4458
"200","FALL","2011","JUL","NO","TUE","WORKDAY","1",0.776667,0.650417,0.1306,4541
"202","FALL","2011","JUL","NO","THU","WORKDAY","2",0.815,0.69125,0.222021,3784
"203","FALL","2011","JUL","NO","FRI","WORKDAY","1",0.848333,0.580417,0.1331,3387
"204","FALL","2011","JUL","NO","SAT","FREEDAY","1",0.849167,0.5,0.131221,3285
"205","FALL","2011","JUL","NO","SUN","FREEDAY","1",0.83,0.550833,0.169171,3606
"207","FALL","2011","JUL","NO","TUE","WORKDAY","1",0.771667,0.540833,0.200258,4590
"209","FALL","2011","JUL","NO","THU","WORKDAY","1",0.779167,0.583333,0.178479,4390
"210","FALL","2011","JUL","NO","FRI","WORKDAY","1",0.838333,0.5425,0.174138,3846
"211","FALL","2011","JUL","NO","SAT","FREEDAY","1",0.804167,0.465833,0.168537,4475
"212","FALL","2011","JUL","NO","SUN","FREEDAY","1",0.805833,0.480833,0.164813,4302
"217","FALL","2011","AUG","NO","FRI","WORKDAY","1",0.710833,0.630833,0.184696,4866
"218","FALL","2011","AUG","NO","SAT","FREEDAY","2",0.716667,0.755,0.22825,4294
"219","FALL","2011","AUG","NO","SUN","FREEDAY","1",0.7425,0.752917,0.201487,3785
"221","FALL","2011","AUG","NO","TUE","WORKDAY","1",0.775,0.570417,0.151121,4602
"222","FALL","2011","AUG","NO","WED","WORKDAY","1",0.766667,0.424167,0.200258,4780
"223","FALL","2011","AUG","NO","THU","WORKDAY","1",0.7175,0.42375,0.164796,4792
"224","FALL","2011","AUG","NO","FRI","WORKDAY","1",0.708333,0.415,0.125621,4905
"225","FALL","2011","AUG","NO","SAT","FREEDAY","2",0.685833,0.729583,0.211454,4150
"226","FALL","2011","AUG","NO","SUN","FREEDAY","2",0.676667,0.8175,0.222633,3820
"227","FALL","2011","AUG","NO","MON","WORKDAY","1",0.665833,0.712083,0.208954,4338
"228","FALL","2011","AUG","NO","TUE","WORKDAY","1",0.700833,0.578333,0.236329,4725
"229","FALL","2011","AUG","NO","WED","WORKDAY","1",0.723333,0.575417,0.143667,4694
"230","FALL","2011","AUG","NO","THU","WORKDAY","1",0.711667,0.654583,0.233208,3805
"232","FALL","2011","AUG","NO","SAT","FREEDAY","1",0.6975,0.674167,0.104467,5191
"234","FALL","2011","AUG","NO","MON","WORKDAY","1",0.691667,0.47,0.27675,4758
"235","FALL","2011","AUG","NO","TUE","WORKDAY","1",0.640833,0.455417,0.146763,5895
"236","FALL","2011","AUG","NO","WED","WORKDAY","1",0.673333,0.605,0.253108,5130
"237","FALL","2011","AUG","NO","THU","WORKDAY","2",0.684167,0.771667,0.210833,3542
"238","FALL","2011","AUG","NO","FRI","WORKDAY","1",0.7,0.76125,0.0839625,4661
"239","FALL","2011","AUG","NO","SAT","FREEDAY","2",0.68,0.85,0.375617,1115
"240","FALL","2011","AUG","NO","SUN","FREEDAY","1",0.707059,0.561765,0.304659,4334
"241","FALL","2011","AUG","NO","MON","WORKDAY","1",0.636667,0.554583,0.159825,4634
"242","FALL","2011","AUG","NO","TUE","WORKDAY","1",0.639167,0.548333,0.125008,5204
"243","FALL","2011","AUG","NO","WED","WORKDAY","1",0.656667,0.597917,0.0833333,5058
"244","FALL","2011","SEP","NO","THU","WORKDAY","1",0.655,0.639167,0.141796,5115
"246","FALL","2011","SEP","NO","SAT","FREEDAY","1",0.669167,0.716667,0.185325,4484
"248","FALL","2011","SEP","YES","MON","FREEDAY","2",0.673333,0.790417,0.212696,3351
"249","FALL","2011","SEP","NO","TUE","WORKDAY","3",0.54,0.886957,0.343943,2710
"250","FALL","2011","SEP","NO","WED","WORKDAY","3",0.599167,0.917083,0.0970208,1996
"251","FALL","2011","SEP","NO","THU","WORKDAY","3",0.633913,0.939565,0.192748,1842
"252","FALL","2011","SEP","NO","FRI","WORKDAY","2",0.65,0.897917,0.124379,3544
"253","FALL","2011","SEP","NO","SAT","FREEDAY","1",0.66,0.75375,0.153608,5345
"254","FALL","2011","SEP","NO","SUN","FREEDAY","1",0.653333,0.71375,0.115054,5046
"258","FALL","2011","SEP","NO","THU","WORKDAY","2",0.5775,0.709167,0.271146,3659
"259","FALL","2011","SEP","NO","FRI","WORKDAY","2",0.469167,0.590417,0.164183,4760
"261","FALL","2011","SEP","NO","SUN","FREEDAY","1",0.5075,0.695,0.178483,4274
"262","FALL","2011","SEP","NO","MON","WORKDAY","2",0.549167,0.69,0.151742,4539
"265","FALL","2011","SEP","NO","THU","WORKDAY","2",0.628333,0.902083,0.128125,4795
"267","WINTER","2011","SEP","NO","SAT","FREEDAY","2",0.606667,0.8625,0.0783833,5423
"270","WINTER","2011","SEP","NO","TUE","WORKDAY","2",0.636667,0.885417,0.118171,4120
"277","WINTER","2011","OCT","NO","TUE","WORKDAY","1",0.484167,0.71,0.205854,4456
"278","WINTER","2011","OCT","NO","WED","WORKDAY","1",0.538333,0.647917,0.17725,4826
"279","WINTER","2011","OCT","NO","THU","WORKDAY","1",0.494167,0.620833,0.134954,4765
"280","WINTER","2011","OCT","NO","FRI","WORKDAY","1",0.510833,0.684167,0.0223917,4985
"281","WINTER","2011","OCT","NO","SAT","FREEDAY","1",0.521667,0.70125,0.0454042,5409
"282","WINTER","2011","OCT","NO","SUN","FREEDAY","1",0.540833,0.7275,0.06345,5511
"285","WINTER","2011","OCT","NO","WED","WORKDAY","3",0.543333,0.90625,0.24815,2416
"286","WINTER","2011","OCT","NO","THU","WORKDAY","2",0.589167,0.896667,0.141787,2913
"287","WINTER","2011","OCT","NO","FRI","WORKDAY","2",0.550833,0.71625,0.223883,3644
"288","WINTER","2011","OCT","NO","SAT","FREEDAY","1",0.506667,0.483333,0.258083,5217
"289","WINTER","2011","OCT","NO","SUN","FREEDAY","1",0.511667,0.486667,0.281717,5041
"290","WINTER","2011","OCT","NO","MON","WORKDAY","1",0.534167,0.579583,0.175379,4570
"291","WINTER","2011","OCT","NO","TUE","WORKDAY","2",0.5325,0.701667,0.110087,4748
"292","WINTER","2011","OCT","NO","WED","WORKDAY","3",0.541739,0.895217,0.243339,2424
"294","WINTER","2011","OCT","NO","FRI","WORKDAY","1",0.4275,0.574167,0.221396,4304
"295","WINTER","2011","OCT","NO","SAT","FREEDAY","1",0.4225,0.629167,0.0926667,4308
"297","WINTER","2011","OCT","NO","MON","WORKDAY","1",0.463333,0.772083,0.118792,4187
"299","WINTER","2011","OCT","NO","WED","WORKDAY","2",0.484167,0.720417,0.148642,3894
"301","WINTER","2011","OCT","NO","FRI","WORKDAY","2",0.330833,0.585833,0.229479,3747
"302","WINTER","2011","OCT","NO","SAT","FREEDAY","3",0.254167,0.8825,0.351371,627
"303","WINTER","2011","OCT","NO","SUN","FREEDAY","1",0.319167,0.62375,0.176617,3331
"304","WINTER","2011","OCT","NO","MON","WORKDAY","1",0.34,0.703333,0.10635,3669
"306","WINTER","2011","NOV","NO","WED","WORKDAY","1",0.3775,0.71875,0.0820917,4186
"308","WINTER","2011","NOV","NO","FRI","WORKDAY","2",0.403333,0.6225,0.271779,4046
"309","WINTER","2011","NOV","NO","SAT","FREEDAY","1",0.326667,0.519167,0.189062,3926
"310","WINTER","2011","NOV","NO","SUN","FREEDAY","1",0.348333,0.734583,0.0920542,3649
"311","WINTER","2011","NOV","NO","MON","WORKDAY","1",0.395,0.75875,0.057225,4035
"314","WINTER","2011","NOV","NO","THU","WORKDAY","2",0.38,0.813333,0.189067,2933
"315","WINTER","2011","NOV","YES","FRI","FREEDAY","1",0.324167,0.44625,0.314675,3368
"316","WINTER","2011","NOV","NO","SAT","FREEDAY","1",0.356667,0.552917,0.212062,4067
"317","WINTER","2011","NOV","NO","SUN","FREEDAY","1",0.440833,0.458333,0.281721,3717
"319","WINTER","2011","NOV","NO","TUE","WORKDAY","2",0.53,0.68875,0.199633,4195
"323","WINTER","2011","NOV","NO","SAT","FREEDAY","1",0.329167,0.502083,0.224496,3663
"326","WINTER","2011","NOV","NO","TUE","WORKDAY","3",0.416667,0.9625,0.118792,1607
"330","WINTER","2011","NOV","NO","SAT","FREEDAY","1",0.375833,0.681667,0.0684208,3068
"331","WINTER","2011","NOV","NO","SUN","FREEDAY","1",0.459167,0.698333,0.208954,3071
"332","WINTER","2011","NOV","NO","MON","WORKDAY","1",0.503478,0.743043,0.142122,3867
"336","WINTER","2011","DEC","NO","FRI","WORKDAY","1",0.314167,0.625833,0.100754,3940
"337","WINTER","2011","DEC","NO","SAT","FREEDAY","1",0.299167,0.612917,0.0957833,3614
"338","WINTER","2011","DEC","NO","SUN","FREEDAY","1",0.330833,0.775833,0.0839583,3485
"339","WINTER","2011","DEC","NO","MON","WORKDAY","2",0.385833,0.827083,0.0622083,3811
"341","WINTER","2011","DEC","NO","WED","WORKDAY","3",0.41,0.970417,0.266175,705
"342","WINTER","2011","DEC","NO","THU","WORKDAY","1",0.265833,0.58,0.240058,3322
"343","WINTER","2011","DEC","NO","FRI","WORKDAY","1",0.290833,0.695833,0.0827167,3620
"344","WINTER","2011","DEC","NO","SAT","FREEDAY","1",0.275,0.5075,0.233221,3190
"346","WINTER","2011","DEC","NO","MON","WORKDAY","1",0.238333,0.670833,0.06345,3310
"347","WINTER","2011","DEC","NO","TUE","WORKDAY","1",0.2825,0.59,0.14055,3523
"348","WINTER","2011","DEC","NO","WED","WORKDAY","2",0.3175,0.66375,0.0609583,3740
"349","WINTER","2011","DEC","NO","THU","WORKDAY","2",0.4225,0.634167,0.268042,3709
"350","WINTER","2011","DEC","NO","FRI","WORKDAY","2",0.375,0.500417,0.260575,3577
"352","WINTER","2011","DEC","NO","SUN","FREEDAY","1",0.238333,0.58625,0.169779,2431
"353","WINTER","2011","DEC","NO","MON","WORKDAY","1",0.276667,0.6375,0.172896,3403
"354","WINTER","2011","DEC","NO","TUE","WORKDAY","2",0.385833,0.595417,0.0615708,3750
"355","SPRING","2011","DEC","NO","WED","WORKDAY","2",0.428333,0.858333,0.2214,2660
"357","SPRING","2011","DEC","NO","FRI","WORKDAY","1",0.373333,0.68625,0.274246,2209
"358","SPRING","2011","DEC","NO","SAT","FREEDAY","1",0.3025,0.5425,0.190304,1011
"359","SPRING","2011","DEC","NO","SUN","FREEDAY","1",0.274783,0.681304,0.155091,754
"361","SPRING","2011","DEC","NO","TUE","WORKDAY","2",0.325,0.7625,0.18845,1162
"362","SPRING","2011","DEC","NO","WED","WORKDAY","1",0.29913,0.503913,0.293961,2302
"364","SPRING","2011","DEC","NO","FRI","WORKDAY","1",0.311667,0.636667,0.134337,2999
"365","SPRING","2011","DEC","NO","SAT","FREEDAY","1",0.41,0.615833,0.220154,2485
"368","SPRING","2012","JAN","NO","TUE","WORKDAY","1",0.15,0.44125,0.365671,2236
"372","SPRING","2012","JAN","NO","SAT","FREEDAY","1",0.393333,0.531667,0.174758,4521
"373","SPRING","2012","JAN","NO","SUN","FREEDAY","1",0.3375,0.465,0.191542,3425
"374","SPRING","2012","JAN","NO","MON","WORKDAY","2",0.224167,0.701667,0.0989,2376
"375","SPRING","2012","JAN","NO","TUE","WORKDAY","1",0.308696,0.646522,0.187552,3598
"377","SPRING","2012","JAN","NO","THU","WORKDAY","2",0.3825,0.802917,0.180967,4097
"378","SPRING","2012","JAN","NO","FRI","WORKDAY","1",0.274167,0.5075,0.378108,3214
"381","SPRING","2012","JAN","YES","MON","FREEDAY","1",0.19,0.5225,0.231358,2298
"384","SPRING","2012","JAN","NO","THU","WORKDAY","1",0.19,0.4975,0.220158,3292
"386","SPRING","2012","JAN","NO","SAT","FREEDAY","2",0.173333,0.83125,0.222642,1301
"389","SPRING","2012","JAN","NO","TUE","WORKDAY","1",0.3425,0.835833,0.123767,4339
"390","SPRING","2012","JAN","NO","WED","WORKDAY","1",0.294167,0.64375,0.161071,4270
"391","SPRING","2012","JAN","NO","THU","WORKDAY","2",0.341667,0.769583,0.0733958,4075
"392","SPRING","2012","JAN","NO","FRI","WORKDAY","2",0.425,0.74125,0.342667,3456
"393","SPRING","2012","JAN","NO","SAT","FREEDAY","1",0.315833,0.543333,0.210829,4023
"394","SPRING","2012","JAN","NO","SUN","FREEDAY","1",0.2825,0.31125,0.24005,3243
"395","SPRING","2012","JAN","NO","MON","WORKDAY","1",0.269167,0.400833,0.215792,3624
"396","SPRING","2012","JAN","NO","TUE","WORKDAY","1",0.39,0.416667,0.261817,4509
"397","SPRING","2012","FEB","NO","WED","WORKDAY","1",0.469167,0.507917,0.189067,4579
"398","SPRING","2012","FEB","NO","THU","WORKDAY","2",0.399167,0.672917,0.187187,3761
"399","SPRING","2012","FEB","NO","FRI","WORKDAY","1",0.313333,0.526667,0.178496,4151
"400","SPRING","2012","FEB","NO","SAT","FREEDAY","2",0.264167,0.779583,0.121896,2832
"401","SPRING","2012","FEB","NO","SUN","FREEDAY","2",0.265833,0.687917,0.175996,2947
"402","SPRING","2012","FEB","NO","MON","WORKDAY","1",0.282609,0.622174,0.1538,3784
"403","SPRING","2012","FEB","NO","TUE","WORKDAY","1",0.354167,0.49625,0.147379,4375
"404","SPRING","2012","FEB","NO","WED","WORKDAY","2",0.256667,0.722917,0.133721,2802
"406","SPRING","2012","FEB","NO","FRI","WORKDAY","2",0.280833,0.54,0.116929,3831
"407","SPRING","2012","FEB","NO","SAT","FREEDAY","3",0.224167,0.73125,0.289796,2169
"409","SPRING","2012","FEB","NO","MON","WORKDAY","1",0.2225,0.41125,0.167283,3422
"410","SPRING","2012","FEB","NO","TUE","WORKDAY","2",0.319167,0.50875,0.141179,3922
"412","SPRING","2012","FEB","NO","THU","WORKDAY","2",0.316667,0.752917,0.091425,3005
"413","SPRING","2012","FEB","NO","FRI","WORKDAY","1",0.343333,0.634583,0.205846,4154
"414","SPRING","2012","FEB","NO","SAT","FREEDAY","1",0.346667,0.534583,0.190929,4318
"415","SPRING","2012","FEB","NO","SUN","FREEDAY","2",0.28,0.515833,0.253112,2689
"416","SPRING","2012","FEB","YES","MON","FREEDAY","1",0.28,0.507826,0.229083,3129
"417","SPRING","2012","FEB","NO","TUE","WORKDAY","1",0.287826,0.594348,0.205717,3777
"418","SPRING","2012","FEB","NO","WED","WORKDAY","1",0.395833,0.567917,0.234471,4773
"419","SPRING","2012","FEB","NO","THU","WORKDAY","1",0.454167,0.554583,0.190913,5062
"421","SPRING","2012","FEB","NO","SAT","FREEDAY","1",0.290833,0.395833,0.421642,2732
"422","SPRING","2012","FEB","NO","SUN","FREEDAY","1",0.279167,0.41,0.205229,3389
